ProviderDirect	CAPIS/EM_CLNT_ID	Client Name	UDP Schema test config
N	6749	ABB, Inc.	QB16452X
Y	16512	American Express GBT	QB16452X
Y	16465	Aramco	QB16452X
Y	5551	ATI	QB16452X
Y	2553	Barclays	QB16452X
Y	4818	Boehringer Ingelheim	QB16452X
N	1211	Colgate	QB16452X
N	16502	Envoy Air	QB16452X
Y	1892	GRACE	QB16452X
Y	2799	Henkel	QB16452X
Y	5035	Hubbell Incorporated	QB16452X
Y	17574	Kenvue	QB16452X
N	3326	Lumbermens Mutual Casualty	QB16452X
Y	3149	Martin Marietta	QB16452X
Y	5063	Puget Sound Energy	QB16452X
N	10825	Reynolds American	QB16452X
N	3406	Roche	QB16452X
Y	5077	Solvay	QB16452X
N	3266	Swiss Re	QB16452X
N	2729	Transocean	QB16452X
Y	33941	Viatris	QB16452X
Y	4739	Zimmer Biomet	QB16452X
Y	17500	ZimVie	QB16452X
